element_id,public_status,data_presence_status,contract_status,primary_renderer,observation_count,entity_count,populated_record_count,measure_count,dimension_count,classification_dimensions,missing_dimensions,duplicate_visible_label_count,mixed_unit_axis_count,latest_value_collapse_lost_records,visualized_source_record_count,source_table_record_count,selector_mismatch_count,result
A-001,actual,actual-records,archetype,score-benchmark,114,0,114,8,3,category,,0,0,106,114,114,0,PASS
A-002,actual,actual-records,archetype,score-benchmark,312,0,312,33,2,category,,0,0,300,312,312,0,PASS
A-003,actual,actual-records,archetype,kpi-trend,272,0,272,7,3,category,,0,0,265,272,272,0,PASS
A-004,actual,actual-records,archetype,kpi-trend,62,0,29,2,3,category,,0,0,27,62,62,0,PASS
A-005,actual,actual-records,archetype,composition,141,0,141,1,3,category,,0,0,137,141,141,0,PASS
A-006,actual,actual-records,archetype,kpi-trend,120,0,114,2,3,category,,0,0,110,120,120,0,PASS
A-007,actual,actual-records,archetype,kpi-trend,263,0,263,4,2,,,0,0,259,263,263,0,PASS
A-008,actual,actual-records,archetype,score-benchmark,31,0,13,1,2,,,0,0,12,31,31,0,PASS
A-009,actual,actual-records,archetype,kpi-trend,90,0,90,2,3,category,,0,0,88,90,90,0,PASS
A-010,actual,actual-records,archetype,composition,400,0,400,2,3,category,,0,0,392,400,400,0,PASS
A-011,actual,actual-records,archetype,composition,495,0,495,1,3,category,,0,0,486,495,495,0,PASS
A-012,actual,actual-records,archetype,kpi-trend,103,0,103,3,3,category,,0,0,100,103,103,0,PASS
A-013,actual,actual-records,archetype,evidence-matrix,1,365,366,3,4,,,0,0,0,366,366,0,PASS
A-014,actual,actual-records,archetype,score-benchmark,494,0,479,3,3,category,,0,0,460,494,494,0,PASS
A-015,actual,actual-records,archetype,evidence-matrix,101,0,99,17,4,category,,0,0,0,101,101,0,PASS
A-016,actual,actual-records,archetype,composition,427,0,427,1,4,category|technology,,0,0,420,427,427,0,PASS
A-017,actual,actual-records,archetype,category-comparison,72,0,72,1,4,category|technology,,0,0,48,72,72,0,PASS
A-018,actual,actual-records,archetype,composition,676,0,472,1,4,category|technology,,0,0,446,676,676,0,PASS
A-019,actual,actual-records,archetype,kpi-trend,34,0,34,1,3,technology,,0,0,33,34,34,0,PASS
A-020,actual,actual-records,archetype,kpi-trend,52,0,50,1,4,category|technology,,0,0,48,52,52,0,PASS
A-021,actual,actual-records,archetype,kpi-trend,84,0,84,1,4,category|technology,,0,0,81,84,84,0,PASS
A-022,actual,actual-records,archetype,kpi-trend,54,0,39,3,4,category|technology,,0,0,25,54,54,0,PASS
